cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path,prediction_file,status,error
EKVX,LightGBM,2439,2195,4390,244,526,0.49722233452796327,37.63969291606958,27.07545169559171,0.7205948741315628,0.6332906032516626,2.28657865524292,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_EKVX.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_EKVX.csv,success,
EKVX,CatBoost,2439,2195,4390,244,526,0.4766807549522165,38.40090292673048,27.39705785357367,0.7241558629140723,0.633631790712592,4.993383884429932,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_EKVX.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_EKVX.csv,success,
EKVX,RandomForest,2439,2195,4390,244,526,0.4691071758494766,38.67777749150379,27.59687349726776,0.7137058687674915,0.6411490674698035,10.677818775177002,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_EKVX.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_EKVX.csv,success,
HCC-2998,LightGBM,2350,2115,4230,235,526,0.5659615556639741,43.60039380492074,31.988763246380387,0.7536378838200976,0.663851307174516,3.0053486824035645,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HCC_2998.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HCC_2998.csv,success,
HCC-2998,RandomForest,2350,2115,4230,235,526,0.5327473449397278,45.23787557073398,32.99337617021277,0.7322072094359209,0.6523320997090206,10.745350360870361,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HCC_2998.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HCC_2998.csv,success,
HCC-2998,CatBoost,2350,2115,4230,235,526,0.5292876794379582,45.40504345797089,33.17817470537297,0.7293767876901084,0.6588768234179474,4.761578321456909,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HCC_2998.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HCC_2998.csv,success,
HCC-2998,XGBoost,2350,2115,4230,235,526,0.5262167569805105,45.55291369808166,33.16188975420404,0.7256763679463014,0.6491729043657248,2.3818674087524414,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_HCC_2998.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_HCC_2998.csv,success,
HCT-116,RandomForest,2437,2193,4386,244,526,0.31793825425203903,37.00118182701449,26.95483169398907,0.5755818065110765,0.46233313572141566,11.73425006866455,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HCT_116.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HCT_116.csv,success,
HCT-116,CatBoost,2437,2193,4386,244,526,0.2978848647037238,37.54117981498531,27.825536737702816,0.5623768634587935,0.43326301693254266,4.983391761779785,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HCT_116.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HCT_116.csv,success,
HCT-116,XGBoost,2437,2193,4386,244,526,0.28258867951825273,37.9479100360911,27.92571211190986,0.5372521347422965,0.4275024184057625,2.6787633895874023,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_HCT_116.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_HCT_116.csv,success,
HCT-116,LightGBM,2437,2193,4386,244,526,0.2622955205511538,38.480876877531145,28.097223026387574,0.5122289550289028,0.4055810815481527,2.9417974948883057,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HCT_116.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HCT_116.csv,success,
HCT-15,LightGBM,2443,2198,4396,245,526,0.4258861901725073,32.410714682183844,23.18126861496066,0.6546869204381041,0.6256536931568139,2.4990625381469727,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HCT_15.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HCT_15.csv,success,
HCT-15,CatBoost,2443,2198,4396,245,526,0.39925632459033333,33.15386880156281,24.013791101741468,0.6348052468211399,0.5943303685999819,5.151417016983032,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HCT_15.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HCT_15.csv,success,
HCT-15,RandomForest,2443,2198,4396,245,526,0.39626234172413866,33.23638215204711,23.803593469387756,0.6303547219002555,0.570596539172154,11.152334690093994,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HCT_15.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HCT_15.csv,success,
HCT-15,XGBoost,2443,2198,4396,245,526,0.3881890306437443,33.457866237666856,23.866499980675933,0.6238151544252297,0.5965443454265529,2.728592872619629,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_HCT_15.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_HCT_15.csv,success,
HL-60(TB),LightGBM,2390,2151,4302,239,526,0.39082448497171296,85.10569365961092,59.679458530930695,0.6284130912736795,0.5566287371795986,2.6417360305786133,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HL_60_TB.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HL_60_TB.csv,success,
HL-60(TB),XGBoost,2390,2151,4302,239,526,0.38475529537101827,85.52859512580974,59.736292436968334,0.6214903255498266,0.5408210246398408,2.5952510833740234,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_HL_60_TB.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_HL_60_TB.csv,success,
